Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,100.0,100.6,99.4,100.0,100.0,1000000
2018-01-03,100.23,100.83,99.57,100.17,100.17,1004158
2018-01-04,100.42,101.02,99.74,100.34,100.34,1008135
2018-01-05,100.54,101.14,99.91,100.51,100.51,1011756
2018-01-08,100.64,101.28,100.04,100.68,100.68,1014863
2018-01-09,100.77,101.44,100.17,100.84,100.84,1017321
2018-01-10,100.95,101.61,100.35,101.01,101.01,1019021
2018-01-11,101.18,101.78,100.58,101.18,101.18,1019890
2018-01-12,101.41,102.01,100.74,101.34,101.34,1019890
2018-01-15,101.58,102.18,100.91,101.51,101.51,1019021
2018-01-16,101.7,102.3,101.07,101.67,101.67,1017321
2018-01-17,101.79,102.43,101.19,101.83,101.83,1014863
2018-01-18,101.91,102.59,101.31,101.99,101.99,1011756
2018-01-19,102.08,102.74,101.48,102.14,102.14,1008135
2018-01-22,102.3,102.9,101.7,102.3,102.3,1004158
2018-01-23,102.51,103.11,101.85,102.45,102.45,1000000
2018-01-24,102.68,103.28,102.0,102.6,102.6,995842
2018-01-25,102.78,103.38,102.15,102.75,102.75,991865
2018-01-26,102.86,103.49,102.26,102.89,102.89,988244
2018-01-29,102.95,103.63,102.35,103.03,103.03,985137
2018-01-30,103.11,103.77,102.51,103.17,103.17,982679
2018-01-31,103.31,103.91,102.71,103.31,103.31,980979
2018-02-01,103.5,104.1,102.84,103.44,103.44,980110
2018-02-02,103.65,104.25,102.97,103.57,103.57,980110
2018-02-05,103.73,104.33,103.09,103.69,103.69,980979
2018-02-06,103.78,104.41,103.18,103.81,103.81,982679
2018-02-07,103.85,104.53,103.25,103.93,103.93,985137
2018-02-08,103.98,104.65,103.38,104.05,104.05,988244
2018-02-09,104.16,104.76,103.56,104.16,104.16,991865
2018-02-12,104.32,104.92,103.66,104.26,104.26,995842
2018-02-13,104.44,105.04,103.76,104.36,104.36,1000000
2018-02-14,104.5,105.1,103.86,104.46,104.46,1004158
2018-02-15,104.52,105.16,103.92,104.56,104.56,1008135
2018-02-16,104.57,105.24,103.97,104.64,104.64,1011756
2018-02-19,104.67,105.33,104.07,104.73,104.73,1014863
2018-02-20,104.81,105.41,104.21,104.81,104.81,1017321
2018-02-21,104.95,105.55,104.28,104.88,104.88,1019021
2018-02-22,105.03,105.63,104.36,104.96,104.96,1019890
2018-02-23,105.06,105.66,104.42,105.02,105.02,1019890
2018-02-26,105.05,105.68,104.45,105.08,105.08,1019021
2018-02-27,105.06,105.74,104.46,105.14,105.14,1017321
2018-02-28,105.13,105.79,104.53,105.19,105.19,1014863
2018-03-01,105.24,105.84,104.64,105.24,105.24,1011756
2018-03-02,105.34,105.94,104.68,105.28,105.28,1008135
2018-03-05,105.4,106.0,104.72,105.32,105.32,1004158
2018-03-06,105.38,105.98,104.75,105.35,105.35,1000000
2018-03-07,105.34,105.98,104.74,105.38,105.38,995842
2018-03-08,105.32,106.0,104.72,105.4,105.4,991865
2018-03-09,105.36,106.02,104.76,105.42,105.42,988244
2018-03-12,105.43,106.03,104.83,105.43,105.43,985137
2018-03-13,105.5,106.1,104.84,105.44,105.44,982679
2018-03-14,105.52,106.12,104.84,105.44,105.44,980979
2018-03-15,105.48,106.08,104.84,105.44,105.44,980110
2018-03-16,105.4,106.04,104.8,105.44,105.44,980110
2018-03-19,105.35,106.02,104.75,105.42,105.42,980979
2018-03-20,105.35,106.01,104.75,105.41,105.41,982679
2018-03-21,105.39,105.99,104.79,105.39,105.39,985137
2018-03-22,105.43,106.03,104.76,105.36,105.36,988244
2018-03-23,105.41,106.01,104.74,105.34,105.34,991865
2018-03-26,105.34,105.94,104.7,105.3,105.3,995842
2018-03-27,105.23,105.86,104.63,105.26,105.26,1000000
2018-03-28,105.14,105.82,104.54,105.22,105.22,1004158
2018-03-29,105.11,105.78,104.51,105.18,105.18,1008135
2018-03-30,105.13,105.73,104.53,105.13,105.13,1011756
2018-04-02,105.13,105.73,104.47,105.07,105.07,1014863
2018-04-03,105.09,105.69,104.41,105.01,105.01,1017321
2018-04-04,104.99,105.59,104.35,104.95,104.95,1019021
2018-04-05,104.85,105.49,104.25,104.89,104.89,1019890
2018-04-06,104.74,105.42,104.14,104.82,104.82,1019890
2018-04-09,104.68,105.35,104.08,104.75,104.75,1019021
2018-04-10,104.67,105.27,104.07,104.67,104.67,1017321
2018-04-11,104.66,105.26,103.99,104.59,104.59,1014863
